Minute,Model,accuracy_score,F1_score,ROC_AUC,TN,FP,FN,TP
5,RandomForest,73.01,73.38,73.0,898,346,331,933
5,LightGBM,78.51,78.41,78.52,990,254,285,979
5,CatBoost,76.32,76.37,76.32,954,290,304,960
5,ExtraTree,76.28,75.96,76.29,973,271,324,940
6,RandomForest,70.33,71.07,70.32,850,394,350,914
6,LightGBM,77.39,77.29,77.4,976,268,299,965
6,CatBoost,73.8,74.35,73.79,899,345,312,952
6,ExtraTree,75.96,76.0,75.96,950,294,309,955
7,RandomForest,69.91,70.17,69.93,865,357,397,887
7,LightGBM,76.34,76.83,76.33,930,292,301,983
7,CatBoost,72.75,73.04,72.76,898,324,359,925
7,ExtraTree,73.94,74.12,73.97,918,304,349,935
8,RandomForest,70.0,70.51,69.99,856,379,373,899
8,LightGBM,75.03,75.26,75.03,929,306,320,952
8,CatBoost,73.08,73.41,73.07,900,335,340,932
8,ExtraTree,74.43,74.27,74.46,941,294,347,925
9,RandomForest,70.32,70.59,70.32,870,365,379,893
9,LightGBM,76.51,76.87,76.5,939,296,293,979
9,CatBoost,73.0,73.48,72.98,892,343,334,938
9,ExtraTree,74.31,74.14,74.34,940,295,349,923
10,RandomForest,71.84,71.94,71.85,896,339,367,905
10,LightGBM,80.26,80.32,80.27,1002,233,262,1010
10,CatBoost,75.63,75.63,75.64,948,287,324,948
10,ExtraTree,77.18,76.95,77.22,980,255,317,955
11,RandomForest,72.37,72.0,72.38,924,320,373,891
11,LightGBM,80.46,80.84,80.45,984,260,230,1034
11,CatBoost,76.87,76.86,76.88,965,279,301,963
11,ExtraTree,77.79,77.57,77.8,988,256,301,963
12,RandomForest,75.12,75.32,75.12,932,312,312,952
12,LightGBM,84.05,84.16,84.05,1045,199,201,1063
12,CatBoost,80.82,80.75,80.83,1018,226,255,1009
12,ExtraTree,80.38,80.37,80.39,1009,235,257,1007
13,RandomForest,77.83,77.71,77.84,983,261,295,969
13,LightGBM,84.73,84.97,84.72,1042,202,181,1083
13,CatBoost,81.5,81.69,81.5,1009,235,229,1035
13,ExtraTree,82.3,82.25,82.3,1035,209,235,1029
14,RandomForest,79.59,79.87,79.58,980,264,248,1016
14,LightGBM,85.37,85.56,85.36,1054,190,177,1087
14,CatBoost,85.21,85.43,85.2,1049,195,176,1088
14,ExtraTree,83.21,83.34,83.21,1034,210,211,1053
15,RandomForest,80.07,80.25,80.07,993,249,251,1016
15,LightGBM,86.97,87.13,86.96,1075,167,160,1107
15,CatBoost,85.13,85.32,85.13,1052,190,183,1084
15,ExtraTree,82.97,80.88,80.85,1517,339,382,1525Minute,Model,accuracy_score,F1_score,ROC_AUC,TN,FP,FN,TP
5,RandomForest,79.47,79.47,79.48,962,238,259,962
5,LightGBM,79.6,79.57,79.6,965,235,259,962
5,CatBoost,80.01,79.97,80.02,971,229,255,966
5,ExtraTree,79.64,79.55,79.65,969,231,262,959
6,RandomForest,79.68,79.69,79.68,964,236,256,965
6,LightGBM,79.6,79.57,79.6,965,235,259,962
6,CatBoost,80.01,79.97,80.02,971,229,255,966
6,ExtraTree,79.51,79.47,79.52,965,235,261,960
7,RandomForest,79.68,79.69,79.68,964,236,256,965
7,LightGBM,79.6,79.57,79.6,965,235,259,962
7,CatBoost,80.01,79.97,80.02,971,229,255,966
7,ExtraTree,79.14,79.0,79.15,966,234,271,950
8,RandomForest,80.01,80.1,80.01,963,237,247,974
8,LightGBM,79.6,79.57,79.6,965,235,259,962
8,CatBoost,80.01,79.97,80.02,971,229,255,966
8,ExtraTree,79.31,79.13,79.32,970,230,271,950
9,RandomForest,79.31,79.32,79.31,959,241,260,961
9,LightGBM,79.6,79.57,79.6,965,235,259,962
9,CatBoost,80.01,79.97,80.02,971,229,255,966
9,ExtraTree,79.39,79.2,79.4,972,228,271,950
10,RandomForest,79.97,80.05,79.97,963,237,248,973
10,LightGBM,79.6,79.57,79.6,965,235,259,962
10,CatBoost,80.01,79.97,80.02,971,229,255,966
10,ExtraTree,79.47,79.37,79.48,968,232,265,956
11,RandomForest,79.88,79.97,79.89,962,238,249,972
11,LightGBM,79.6,79.57,79.6,965,235,259,962
11,CatBoost,80.01,79.97,80.02,971,229,255,966
11,ExtraTree,79.43,79.27,79.44,971,229,269,952
12,RandomForest,79.88,79.87,79.89,968,232,255,966
12,LightGBM,79.6,79.57,79.6,965,235,259,962
12,CatBoost,80.01,79.97,80.02,971,229,255,966
12,ExtraTree,79.43,79.37,79.44,965,235,263,958
13,RandomForest,79.8,79.93,79.8,958,242,247,974
13,LightGBM,79.6,79.57,79.6,965,235,259,962
13,CatBoost,80.01,79.97,80.02,971,229,255,966
13,ExtraTree,79.6,79.47,79.61,971,229,265,956
14,RandomForest,79.6,79.72,79.6,956,244,250,971
14,LightGBM,79.6,79.57,79.6,965,235,259,962
14,CatBoost,80.01,79.97,80.02,971,229,255,966
14,ExtraTree,79.39,79.37,79.4,962,238,261,960
15,RandomForest,79.55,79.59,79.56,961,239,256,965
15,LightGBM,79.6,79.57,79.6,965,235,259,962
15,CatBoost,80.01,79.97,80.02,971,229,255,966
15,ExtraTree,79.51,79.52,79.52,962,238,258,963
