Minute,Model,accuracy_score,F1_score,ROC_AUC,TN,FP,FN,TP
5,RandomForest,74.09,74.43,74.09,1653,574,603,1713
5,LightGBM,79.86,79.9,79.89,1809,418,497,1819
5,CatBoost,77.5,77.78,77.51,1732,495,527,1789
5,ExtraTree,79.02,79.06,79.05,1791,436,517,1799
6,RandomForest,70.33,71.17,70.3,1531,696,652,1664
6,LightGBM,78.23,78.71,78.22,1726,501,488,1828
6,CatBoost,74.18,74.27,74.2,1677,550,623,1693
6,ExtraTree,76.43,76.58,76.44,1721,506,565,1751
7,RandomForest,69.27,69.86,69.26,1529,698,698,1618
7,LightGBM,76.84,77.33,76.83,1697,530,522,1794
7,CatBoost,72.44,72.72,72.45,1622,605,647,1669
7,ExtraTree,75.26,75.59,75.26,1679,548,576,1740
8,RandomForest,69.12,69.39,69.13,1550,677,726,1590
8,LightGBM,75.99,76.36,75.98,1690,537,554,1762
8,CatBoost,71.8,72.36,71.79,1585,642,639,1677
8,ExtraTree,74.11,74.31,74.13,1666,561,615,1701
9,RandomForest,69.91,70.16,69.92,1569,658,709,1607
9,LightGBM,76.38,76.74,76.38,1700,527,546,1770
9,CatBoost,73.34,73.79,73.34,1627,600,611,1705
9,ExtraTree,74.18,74.27,74.2,1677,550,623,1693
10,RandomForest,70.55,70.94,70.55,1572,655,683,1633
10,LightGBM,77.53,77.84,77.53,1729,498,523,1793
10,CatBoost,73.74,74.09,73.74,1644,583,610,1706
10,ExtraTree,74.64,74.76,74.66,1685,542,610,1706
11,RandomForest,71.8,72.15,71.81,1603,624,657,1659
11,LightGBM,78.78,79.14,78.78,1750,477,487,1829
11,CatBoost,76.03,76.35,76.03,1696,531,558,1758
11,ExtraTree,76.84,76.92,76.87,1738,489,563,1753
12,RandomForest,73.63,73.99,73.63,1641,586,612,1704
12,LightGBM,81.58,81.89,81.57,1813,414,423,1893
12,CatBoost,77.72,77.91,77.74,1746,481,531,1785
12,ExtraTree,78.76,78.88,78.78,1776,451,514,1802
13,RandomForest,75.96,76.18,75.97,1705,522,570,1746
13,LightGBM,84.04,84.25,84.05,1879,348,377,1939
13,CatBoost,81.29,81.43,81.31,1829,398,452,1864
13,ExtraTree,81.25,81.3,81.27,1839,388,464,1852
14,RandomForest,78.1,78.31,78.11,1752,475,520,1796
14,LightGBM,86.24,86.36,86.26,1939,288,337,1979
14,CatBoost,84.26,84.41,84.27,1892,335,380,1936
14,ExtraTree,83.14,83.19,83.17,1882,345,421,1895
15,RandomForest,79.46,79.56,79.48,1794,433,500,1816
15,LightGBM,87.59,87.83,87.58,1944,283,281,2035
15,CatBoost,85.67,85.98,85.66,1896,331,320,1996
15,ExtraTree,85.43,85.57,85.44,1918,309,353,1963
