matchId,queueId,Diff-A,Diff-K,Diff_CS,Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_Inhibitor,Diff_LV,Diff_WARDkill,Diff_WARDplaced,Diff_jglCS,dragonType,result
KR_6741690974,420,-1,1,43,1,1,-1,-1,0,-1,-1,-35,12,6,1
KR_6745383896,420,6,1,14,1,1,1,1,0,2,3,-9,-16,5,1
KR_6744402678,420,3,6,75,1,1,1,1,0,2,4,12,-16,3,1
KR_6742865044,420,1,0,-22,-1,1,-1,-1,0,2,4,18,24,4,1
KR_6749510736,420,5,10,100,1,1,-1,1,0,7,-3,52,-4,5,1
KR_6742894663,420,13,10,148,-1,1,1,1,0,6,6,34,18,4,1
KR_6745807260,420,12,7,0,1,1,1,1,0,2,2,2,17,3,1
KR_6747143521,420,12,10,80,1,1,1,1,0,7,-1,3,6,5,1
KR_6750146695,420,12,10,12,1,1,-1,1,0,5,6,4,10,6,1
KR_6747854444,420,-7,1,-13,-1,1,1,1,0,0,-9,16,8,2,1
KR_6743731586,420,7,7,50,1,1,-1,1,0,4,2,7,15,6,1
KR_6724056578,420,14,5,-43,1,1,1,1,0,-2,-1,16,-40,1,1
KR_6746347403,420,6,2,1,1,-1,1,-1,0,-1,-1,-9,3,1,1
KR_6745654138,420,6,1,37,-1,-1,1,-1,0,1,1,-53,-21,1,1
KR_6748994323,420,22,8,-12,1,1,-1,1,0,3,-7,-3,19,2,1
KR_6745746610,420,-1,1,-33,-1,1,1,1,0,1,2,-41,-21,6,1
KR_6751313208,420,14,-1,-28,-1,-1,-1,-1,0,1,0,9,2,4,1
KR_6733672536,420,8,5,27,1,-1,1,1,0,4,2,-7,3,3,1
KR_6721383144,420,13,4,52,-1,-1,1,1,0,2,5,-22,15,1,1
KR_6746174406,420,2,6,48,1,-1,1,1,0,1,8,25,21,5,1
KR_6749057371,420,6,12,31,1,1,1,1,0,3,-9,322,29,1,1
KR_6743320915,420,-2,2,36,1,-1,1,1,0,0,-7,6,-8,5,1
KR_6746674524,420,13,9,53,-1,-1,1,1,0,2,5,-3,-16,6,1
KR_6752239867,420,14,7,82,-1,1,1,1,0,5,-22,39,-9,3,1
KR_6745430692,420,5,-4,-56,-1,1,-1,-1,0,0,-2,-2,0,3,1
KR_6728179769,420,4,4,47,-1,0,1,1,0,1,4,-4,2,0,1
KR_6749236375,420,22,21,84,1,1,1,1,0,7,8,10,21,2,1
KR_6750141546,420,-3,-5,-11,-1,1,-1,-1,0,-2,2,36,5,6,1
KR_6733025305,420,5,1,-22,-1,-1,1,1,0,-1,4,-11,-12,6,1
KR_6745936449,420,-2,-5,-17,-1,-1,1,1,0,-3,-3,4,-20,1,1
KR_6741970266,420,7,6,40,1,1,1,1,0,4,-1,-32,9,6,1
KR_6744302020,420,3,2,10,1,1,-1,-1,0,1,-3,-1,-16,6,1
KR_6748367863,420,5,6,41,1,-1,1,1,0,2,4,-7,6,6,1
KR_6747087854,420,11,4,-23,-1,1,-1,-1,0,1,4,19,-1,2,1
KR_6737939142,420,10,7,-15,-1,1,1,1,0,5,1,0,39,1,1
KR_6746493505,420,11,9,102,1,1,-1,1,0,7,-4,2,19,4,1
KR_6745005806,420,8,9,-52,-1,-1,1,0,0,2,17,-32,17,5,1
KR_6747498156,420,-6,1,16,1,-1,1,-1,0,0,0,1,-8,6,1
KR_6746028154,420,1,4,77,-1,1,-1,1,0,3,-7,15,-2,3,1
KR_6734952891,420,5,6,-33,1,1,1,0,0,0,-13,3,-15,2,1
KR_6745441748,420,1,4,7,1,1,1,0,0,1,3,-16,-16,2,1
KR_6716736257,420,8,10,-18,1,1,1,1,0,2,1,-7,1,1,1
KR_6714070228,420,-9,-1,29,1,1,1,1,0,4,3,-31,31,1,1
KR_6750157544,420,8,6,19,-1,1,1,-1,0,2,-1,-18,-18,4,1
KR_6745079547,420,-1,1,-55,-1,-1,-1,-1,0,0,-2,-3,-16,5,1
KR_6750756172,420,4,8,40,1,1,-1,0,0,1,-4,17,1,5,1
KR_6747548332,420,13,13,26,1,1,-1,-1,0,4,5,0,17,4,1
KR_6747516064,420,8,11,30,1,1,1,1,0,3,3,-12,0,1,1
KR_6746770038,420,-2,-1,34,1,1,-1,1,0,1,-1,9,-20,5,1
KR_6744866121,420,20,14,19,-1,1,-1,1,0,4,2,12,23,4,1
KR_6752956378,420,10,8,80,-1,-1,-1,1,0,4,-1,0,16,4,1
KR_6744602984,420,8,10,23,1,1,-1,1,0,4,14,-47,7,3,1
KR_6742580203,440,-6,0,39,1,1,1,1,0,1,4,-3,-7,5,1
KR_6745462576,420,2,0,-7,-1,1,1,1,0,0,-2,10,20,6,1
KR_6753340870,420,7,7,5,-1,-1,1,1,0,1,0,-25,-4,6,1
KR_6750593152,420,-3,0,-12,1,-1,1,1,0,3,0,-2,7,3,1
KR_6749397908,420,6,1,-48,-1,1,-1,-1,0,1,-3,3,6,5,1
KR_6747082746,420,-20,-7,62,-1,1,-1,0,0,1,-1,-12,14,6,1
KR_6745378686,420,3,7,44,1,1,-1,1,0,2,-7,12,-19,6,1
KR_6738734309,420,2,7,24,1,-1,1,1,0,3,3,0,-17,6,1
KR_6735326635,420,9,10,53,1,1,1,1,0,5,-1,6,19,5,1
KR_6722630093,420,-3,5,56,1,1,1,1,0,3,-1,24,33,3,1
KR_6721366705,420,17,5,60,1,1,1,1,0,3,0,-2,54,4,1
KR_6738127009,420,27,22,100,1,1,1,1,0,8,3,10,5,4,1
KR_6733157096,420,15,15,64,1,1,-1,1,0,3,0,11,21,6,1
KR_6750321779,420,14,7,-8,1,1,1,1,0,1,-1,5,33,4,1
KR_6745505074,420,-2,2,23,1,-1,-1,0,0,0,-1,4,-8,2,1
KR_6751591297,420,2,8,85,-1,1,1,1,0,4,2,15,-11,1,1
KR_6745774199,420,-8,-4,-21,-1,1,1,1,0,0,5,-30,19,6,1
KR_6747971652,420,3,-1,7,1,-1,1,1,0,-1,4,-10,3,5,1
KR_6751555565,420,1,6,63,1,1,-1,1,0,4,21,-41,8,1,1
KR_6747823658,420,1,-1,5,-1,1,-1,-1,0,1,-2,0,-14,2,1
KR_6750407606,420,-7,-7,-12,-1,0,-1,-1,0,1,-1,2,-5,0,1
KR_6744869351,420,2,3,-8,1,-1,1,0,0,1,2,-21,13,4,1
KR_6751028392,420,10,10,65,1,-1,1,1,0,1,4,9,-11,4,1
KR_6750590901,420,1,0,6,-1,-1,-1,0,0,-1,0,-6,-16,2,1
KR_6753363272,420,14,16,65,1,-1,-1,-1,0,5,1,2,16,4,1
KR_6752911802,420,13,12,-33,1,1,1,1,0,0,8,-10,5,3,1
KR_6740995797,420,7,9,51,1,1,1,1,0,5,6,-3,62,5,1
KR_6750936082,420,-3,-5,21,-1,-1,1,0,0,0,-9,0,11,2,1
KR_6750836294,420,-4,-2,-7,-1,1,-1,-1,0,-1,-12,45,29,3,1
KR_6753102044,420,6,5,11,1,1,-1,1,0,1,7,2,8,3,1
KR_6727741176,420,4,3,-27,1,-1,-1,-1,0,0,-1,-26,-28,6,1
KR_6748005438,420,10,7,3,-1,1,1,1,0,5,-4,0,10,4,1
KR_6736025159,420,13,7,19,1,1,1,1,0,1,-5,1,-20,6,1
KR_6744418053,420,16,11,-8,1,1,-1,1,0,3,3,25,-5,5,1
KR_6749264192,440,12,7,77,1,1,-1,1,0,3,7,-20,27,3,1
KR_6748157556,420,17,13,43,1,1,1,1,0,3,-1,11,-4,1,1
KR_6747634390,420,4,0,-43,-1,1,1,-1,0,-1,6,-9,28,5,1
KR_6750062644,420,3,3,-14,-1,1,1,1,0,0,-5,-1,15,4,1
KR_6751610975,420,11,6,27,1,1,1,-1,0,3,2,11,40,3,1
KR_6747832339,420,16,14,37,1,-1,1,1,0,3,3,-1,31,4,1
KR_6733684065,420,11,8,-23,1,-1,-1,0,0,1,-7,7,-17,1,1
KR_6750080100,420,21,23,81,-1,1,1,1,0,6,1,4,-8,1,1
KR_6743864336,420,11,6,62,1,1,-1,1,0,1,-3,-19,-39,4,1
KR_6729934769,440,6,-2,33,-1,1,-1,-1,0,-1,10,-40,-11,1,1
KR_6741020754,420,14,3,-5,1,-1,1,-1,0,0,-5,-4,18,6,1
KR_6745687315,420,6,6,7,-1,-1,1,1,0,1,-2,-8,-16,1,1
KR_6746842737,420,13,18,-42,1,1,1,1,0,3,-3,1,28,4,1
KR_6716816401,420,2,6,34,1,1,-1,1,0,1,1,0,6,5,1
KR_6721692617,420,7,2,-12,-1,-1,1,1,0,1,3,14,-7,5,1
KR_6747984074,420,25,8,12,1,1,1,1,0,3,9,-16,21,4,1
KR_6741321546,420,11,11,33,1,1,1,-1,0,3,1,1,-16,5,1
KR_6751795358,420,0,-4,-4,-1,1,-1,-1,0,0,1,-5,8,3,1
KR_6753371625,420,-3,-3,-71,-1,-1,-1,-1,0,0,-5,-3,-5,6,1
KR_6750386938,420,-14,-1,96,1,-1,1,1,0,3,1,0,-11,2,1
KR_6745972775,420,17,16,40,1,1,1,1,0,6,-1,11,14,6,1
KR_6747933476,420,6,1,-37,-1,-1,1,1,0,0,-1,19,1,5,1
KR_6746864249,420,-1,0,23,-1,1,1,1,0,1,-6,-20,6,5,1
KR_6747038812,420,17,7,13,-1,-1,1,1,0,3,5,-27,5,3,1
KR_6738160438,420,7,7,19,1,-1,1,1,0,1,1,4,9,1,1
KR_6752171934,440,-2,-2,-28,1,-1,-1,1,0,-3,4,3,-9,3,1
KR_6750801162,440,8,6,14,1,1,-1,0,0,4,-1,-134,9,3,1
KR_6744955278,420,17,15,77,1,1,1,1,0,8,5,0,-8,1,1
